?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/IAO_0000010>	<http://www.w3.org/2000/01/rdf-schema#label>	"software"@en	
<https://w3id.org/pmd/co/PMD_0000541>	<http://www.w3.org/2000/01/rdf-schema#label>	"cnc machine"@en	
<https://w3id.org/pmd/co/PMD_0000541>	<http://www.w3.org/2000/01/rdf-schema#label>	"CNC-Maschine"@de	
<https://w3id.org/pmd/co/PMD_0050045>	<http://www.w3.org/2000/01/rdf-schema#label>	"porcelain"@en	
<http://purl.obolibrary.org/obo/CHEBI_27594>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbon atom"	
<https://w3id.org/pmd/co/PMD_0010026>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic composition"@en	
<https://w3id.org/pmd/co/PMD_0020058>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of cerium"@en	
<https://w3id.org/pmd/co/PMD_0000951>	<http://www.w3.org/2000/01/rdf-schema#label>	"stochastic simulation"@en	
<https://w3id.org/pmd/co/PMD_0000508>	<http://www.w3.org/2000/01/rdf-schema#label>	"additive manufacturing device"@en	
<https://w3id.org/pmd/co/PMD_0000508>	<http://www.w3.org/2000/01/rdf-schema#label>	"Additive Fertigungsgerät"@de	
<https://w3id.org/pmd/co/PMD_0001999>	<http://www.w3.org/2000/01/rdf-schema#label>	"hand held device"@en	
<http://purl.obolibrary.org/obo/OBI_0001931>	<http://www.w3.org/2000/01/rdf-schema#label>	"scalar value specification"	
<https://w3id.org/pmd/co/PMD_0000113>	<http://www.w3.org/2000/01/rdf-schema#label>	"conventional ceramics manufacturing"@en	
<https://w3id.org/pmd/co/PMD_0020132>	<http://www.w3.org/2000/01/rdf-schema#label>	"size"@en	
<https://w3id.org/pmd/co/PMD_0090000>	<http://www.w3.org/2000/01/rdf-schema#label>	"semiconductor"@en	
<https://w3id.org/pmd/co/PMD_0020241>	<http://www.w3.org/2000/01/rdf-schema#label>	"angle of misalignment (crystallography)"@en	
<https://w3id.org/pmd/co/PMD_0001003>	<http://www.w3.org/2000/01/rdf-schema#label>	"unsupervised machine learning"@en	
<https://w3id.org/pmd/co/PMD_0001003>	<http://www.w3.org/2000/01/rdf-schema#label>	"unsupervised machine learning"@de	
<https://w3id.org/pmd/co/PMD_0000922>	<http://www.w3.org/2000/01/rdf-schema#label>	"scanning electron microscope"@en	
<https://w3id.org/pmd/co/PMD_0000922>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rasterelektronenmikroskop"@de	
<http://purl.obolibrary.org/obo/IAO_0000109>	<http://www.w3.org/2000/01/rdf-schema#label>	"measurement datum"@en	
<https://w3id.org/pmd/co/PMD_0000813>	<http://www.w3.org/2000/01/rdf-schema#label>	"knife"@en	
<https://w3id.org/pmd/co/PMD_0000813>	<http://www.w3.org/2000/01/rdf-schema#label>	"Messer"@de	
<http://purl.obolibrary.org/obo/IAO_0020010>	<http://www.w3.org/2000/01/rdf-schema#label>	"identifier creating process"@en	
<https://w3id.org/pmd/co/PMD_0020201>	<http://www.w3.org/2000/01/rdf-schema#label>	"section"@en	
<https://w3id.org/pmd/co/PMD_0020188>	<http://www.w3.org/2000/01/rdf-schema#label>	"nickel alloy"@en	
<https://w3id.org/pmd/co/PMD_0050015>	<http://www.w3.org/2000/01/rdf-schema#label>	"flexible polyvinyl chloride"@en	
<https://w3id.org/pmd/co/PMD_0000015>	<http://www.w3.org/2000/01/rdf-schema#label>	"output specification"@en	
<https://w3id.org/pmd/co/PMD_0050112>	<http://www.w3.org/2000/01/rdf-schema#label>	"high-temperature resistant glass"@en	
<http://purl.obolibrary.org/obo/CHEBI_27560>	<http://www.w3.org/2000/01/rdf-schema#label>	"boron atom"	
<https://w3id.org/pmd/co/PMD_0090016>	<http://www.w3.org/2000/01/rdf-schema#label>	"bio-based material"@en	
<https://w3id.org/pmd/co/PMD_0000642>	<http://www.w3.org/2000/01/rdf-schema#label>	"flow cytometer"@en	
<https://w3id.org/pmd/co/PMD_0000642>	<http://www.w3.org/2000/01/rdf-schema#label>	"Durchflusszytometer"@de	
<https://w3id.org/pmd/co/PMD_0050146>	<http://www.w3.org/2000/01/rdf-schema#label>	"S53P4 bioglass"@en	
<https://w3id.org/pmd/co/PMD_0020159>	<http://www.w3.org/2000/01/rdf-schema#label>	"daughter phase role"@en	
<http://purl.obolibrary.org/obo/BFO_0000028>	<http://www.w3.org/2000/01/rdf-schema#label>	"three-dimensional spatial region"@en	
<https://w3id.org/pmd/co/PMD_0020030>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of carbon"@en	
<https://w3id.org/pmd/co/PMD_0000051>	<http://www.w3.org/2000/01/rdf-schema#label>	"simulation entity role"@en	
<https://w3id.org/pmd/co/PMD_0050001>	<http://www.w3.org/2000/01/rdf-schema#label>	"covalent bond"@en	
<https://w3id.org/pmd/co/PMD_0000602>	<http://www.w3.org/2000/01/rdf-schema#label>	"device"@en	
<https://w3id.org/pmd/co/PMD_0000602>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gerät"@de	
<https://w3id.org/pmd/co/PMD_0000562>	<http://www.w3.org/2000/01/rdf-schema#label>	"coarse grained simulation"@en	
<https://w3id.org/pmd/co/PMD_0000562>	<http://www.w3.org/2000/01/rdf-schema#label>	"Coarse Grained Simulation"@de	
<https://w3id.org/pmd/co/PMD_0020195>	<http://www.w3.org/2000/01/rdf-schema#label>	"crystallization"@en	
<https://w3id.org/pmd/co/PMD_0000119>	<http://www.w3.org/2000/01/rdf-schema#label>	"sandwich panel composite"@en	
<https://w3id.org/pmd/co/PMD_0025012>	<http://www.w3.org/2000/01/rdf-schema#label>	"analytical calculation"@en	
<https://w3id.org/pmd/co/PMD_0020001>	<http://www.w3.org/2000/01/rdf-schema#label>	"filler role"@en	
<https://w3id.org/pmd/co/PMD_0000767>	<http://www.w3.org/2000/01/rdf-schema#label>	"hacksaw"@en	
<https://w3id.org/pmd/co/PMD_0000767>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bügelsäge"@de	
<https://w3id.org/pmd/co/PMD_0020145>	<http://www.w3.org/2000/01/rdf-schema#label>	"educt"@en	
<https://w3id.org/pmd/co/PMD_0000998>	<http://www.w3.org/2000/01/rdf-schema#label>	"ultraviolet visible spectrophotometer"@en	
<https://w3id.org/pmd/co/PMD_0000998>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ultraviolett-Visible-Spektrophotometer"@de	
<https://w3id.org/pmd/co/PMD_0050092>	<http://www.w3.org/2000/01/rdf-schema#label>	"bioinert ceramic"@en	
<https://w3id.org/pmd/co/PMD_0050138>	<http://www.w3.org/2000/01/rdf-schema#label>	"iron-borosilicate glass"@en	
<https://w3id.org/pmd/co/PMD_0000535>	<http://www.w3.org/2000/01/rdf-schema#label>	"boiling point"@en	
<https://w3id.org/pmd/co/PMD_0000935>	<http://www.w3.org/2000/01/rdf-schema#label>	"sizing saw"@en	
<https://w3id.org/pmd/co/PMD_0000935>	<http://www.w3.org/2000/01/rdf-schema#label>	"Formatkreissäge"@de	
<http://purl.obolibrary.org/obo/CHEBI_33313>	<http://www.w3.org/2000/01/rdf-schema#label>	"polonium atom"	
<http://purl.obolibrary.org/obo/UO_0000076>	<http://www.w3.org/2000/01/rdf-schema#label>	"mole fraction"	
<https://w3id.org/pmd/co/PMD_0020181>	<http://www.w3.org/2000/01/rdf-schema#label>	"pipe"@en	
<https://w3id.org/pmd/co/PMD_0001024>	<http://www.w3.org/2000/01/rdf-schema#label>	"x-ray microanalysis system"@en	
<https://w3id.org/pmd/co/PMD_0001024>	<http://www.w3.org/2000/01/rdf-schema#label>	"Röntgenmikroanalyssystem"@de	
<https://w3id.org/pmd/co/PMD_0000969>	<http://www.w3.org/2000/01/rdf-schema#label>	"temperature change function"@en	
<https://w3id.org/pmd/co/PMD_0000969>	<http://www.w3.org/2000/01/rdf-schema#label>	"Temperaturänderungsfunktion"@de	
<https://w3id.org/pmd/co/PMD_0000978>	<http://www.w3.org/2000/01/rdf-schema#label>	"thermal conductivity"@en	
<https://w3id.org/pmd/co/PMD_0020080>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of beryllium"@en	
<https://w3id.org/pmd/co/PMD_0020126>	<http://www.w3.org/2000/01/rdf-schema#label>	"foam"@en	
<https://w3id.org/pmd/co/PMD_0050118>	<http://www.w3.org/2000/01/rdf-schema#label>	"optical glass"@en	
<https://w3id.org/pmd/co/PMD_0050028>	<http://www.w3.org/2000/01/rdf-schema#label>	"melamine formaldehyde"@en	
<https://w3id.org/pmd/co/PMD_0000971>	<http://www.w3.org/2000/01/rdf-schema#label>	"temperature measuring function"@en	
<https://w3id.org/pmd/co/PMD_0000971>	<http://www.w3.org/2000/01/rdf-schema#label>	"Temperaturmessfunktion"@de	
<https://w3id.org/pmd/co/PMD_0020248>	<http://www.w3.org/2000/01/rdf-schema#label>	"diffusion flux"@en	
<https://w3id.org/pmd/co/PMD_0000906>	<http://www.w3.org/2000/01/rdf-schema#label>	"primary shaping from the liquid state"@en	
<https://w3id.org/pmd/co/PMD_0000906>	<http://www.w3.org/2000/01/rdf-schema#label>	"Urformen Aus Dem Flüssigen Zustand"@de	
<http://purl.obolibrary.org/obo/CHEBI_25016>	<http://www.w3.org/2000/01/rdf-schema#label>	"lead atom"	
<https://w3id.org/pmd/co/PMD_0000658>	<http://www.w3.org/2000/01/rdf-schema#label>	"gel permeation chromatography process"@en	
<https://w3id.org/pmd/co/PMD_0000658>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gel-Permeations-Chromatographie Verfahren"@de	
<https://w3id.org/pmd/co/PMD_0020036>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of rhenium"@en	
<https://w3id.org/pmd/co/PMD_0001010>	<http://www.w3.org/2000/01/rdf-schema#label>	"wear testing process"@en	
<https://w3id.org/pmd/co/PMD_0001010>	<http://www.w3.org/2000/01/rdf-schema#label>	"Verschleißprüfverfahren"@de	
<https://w3id.org/pmd/co/PMD_0000549>	<http://www.w3.org/2000/01/rdf-schema#label>	"change of temperature"@en	
<https://w3id.org/pmd/co/PMD_0000949>	<http://www.w3.org/2000/01/rdf-schema#label>	"stiffness"@en	
<https://w3id.org/pmd/co/PMD_0050154>	<http://www.w3.org/2000/01/rdf-schema#label>	"width"@en	
<https://w3id.org/pmd/co/PMD_0050154>	<http://www.w3.org/2000/01/rdf-schema#label>	"Breite"@de	
<https://w3id.org/pmd/co/PMD_0000820>	<http://www.w3.org/2000/01/rdf-schema#label>	"load cell"@en	
<https://w3id.org/pmd/co/PMD_0000820>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kraftmessdose"@de	
<https://w3id.org/pmd/co/PMD_0000608>	<http://www.w3.org/2000/01/rdf-schema#label>	"differential thermal analyzer"@en	
<https://w3id.org/pmd/co/PMD_0000608>	<http://www.w3.org/2000/01/rdf-schema#label>	"Differentialthermometer"@de	
