?x	?p	?y
<http://purl.obolibrary.org/obo/IAO_0000030>	<http://purl.obolibrary.org/obo/IAO_0000136>	<http://purl.obolibrary.org/obo/BFO_0000001>
<https://w3id.org/pmd/co/PMD_0050106>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/CHEBI_30163>
<https://w3id.org/pmd/co/PMD_0000118>	<http://purl.obolibrary.org/obo/BFO_0000051>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid257
<https://w3id.org/pmd/co/PMD_0050134>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0000620>
<https://w3id.org/pmd/co/PMD_0050063>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020030>
<https://w3id.org/pmd/co/PMD_0000005>	<http://purl.obolibrary.org/obo/RO_0000052>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid178
<https://w3id.org/pmd/co/PMD_0025009>	<https://w3id.org/pmd/co/PMD_0001028>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid1105
<https://w3id.org/pmd/co/PMD_0020210>	<http://purl.obolibrary.org/obo/RO_0002351>	<https://w3id.org/pmd/co/PMD_0020140>
<https://w3id.org/pmd/co/PMD_0000927>	<http://purl.obolibrary.org/obo/BFO_0000055>	<https://w3id.org/pmd/co/PMD_0000592>
<https://w3id.org/pmd/co/PMD_0011023>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020067>
<https://w3id.org/pmd/co/PMD_0020003>	<http://purl.obolibrary.org/obo/RO_0000086>	<https://w3id.org/pmd/co/PMD_0000591>
<https://w3id.org/pmd/co/PMD_0050139>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0000825>
<https://w3id.org/pmd/co/PMD_0020131>	<http://purl.obolibrary.org/obo/RO_0000080>	<https://w3id.org/pmd/co/PMD_0000001>
<https://w3id.org/pmd/co/PMD_0050065>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020032>
<https://w3id.org/pmd/co/PMD_0050126>	<http://purl.obolibrary.org/obo/OBI_0000312>	<https://w3id.org/pmd/co/PMD_0000103>
<https://w3id.org/pmd/co/PMD_0020229>	<http://purl.obolibrary.org/obo/RO_0002351>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid981
<https://w3id.org/pmd/co/PMD_0000503>	<http://purl.obolibrary.org/obo/IAO_0000417>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid302
<http://purl.obolibrary.org/obo/IAO_0000109>	<http://purl.obolibrary.org/obo/OBI_0001938>	<http://purl.obolibrary.org/obo/OBI_0001933>
<https://w3id.org/pmd/co/PMD_0000005>	<http://purl.obolibrary.org/obo/BFO_0000054>	<https://w3id.org/pmd/co/PMD_0000950>
<https://w3id.org/pmd/co/PMD_0050064>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020050>
<https://w3id.org/pmd/co/PMD_0011032>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020050>
<http://purl.obolibrary.org/obo/OBI_0000070>	<http://purl.obolibrary.org/obo/RO_0009006>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid143
<https://w3id.org/pmd/co/PMD_0050041>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020050>
<https://w3id.org/pmd/co/PMD_0000848>	<http://purl.obolibrary.org/obo/RO_0000052>	<https://w3id.org/pmd/co/PMD_0000000>
<https://w3id.org/pmd/co/PMD_0090016>	<http://purl.obolibrary.org/obo/RO_0002353>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid1385
<https://w3id.org/pmd/co/PMD_0000556>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0025001>
